ModelName,Technique,Proportion,Step,validation_loss,memory_used,inference_time,f1_score,auc_score
AE512_256x128_cnf_month,pruning-bottleneck,70,base_models,0.0005866946303285658,1.25439453125,0.8095781803131104,0.8967254408060453,0.8998713353552062
AE512_256x128_cnf_week,pruning-bottleneck,70,base_models,0.0006581625202670693,1.25439453125,0.7990875244140625,0.8974518334369174,0.8995037220843674
AE512_128x64_cnf_month,pruning-bottleneck,70,base_models,0.0008496214868500829,0.56591796875,0.7108573913574219,0.9047619047619048,0.907269552430843
AE512_128x64_cnf_week,pruning-bottleneck,70,base_models,0.001002460834570229,0.56591796875,0.6414549350738525,0.9000628535512256,0.9029500964984836
AE512_64x32_cnf_month,pruning-bottleneck,70,base_models,0.0015132890548557043,0.26904296875,0.81736159324646,0.9078624078624079,0.9088548846613362
AE512_64x32_cnf_week,pruning-bottleneck,70,base_models,0.0019398242002353072,0.26904296875,0.8448059558868408,0.9036585365853659,0.904121863799283
AE512_256x128_cnf_month,pruning-bottleneck,70,pruned_models,0.055021997541189194,1.18017578125,0.7733378410339355,0.6582278481012658,0.5
AE512_256x128_cnf_week,pruning-bottleneck,70,pruned_models,0.25451841950416565,1.18017578125,0.6579885482788086,0.6582278481012658,0.5
AE512_128x64_cnf_month,pruning-bottleneck,70,pruned_models,0.00940228532999754,0.54736328125,0.6757006645202637,0.8958210712183637,0.8932313206506757
AE512_128x64_cnf_week,pruning-bottleneck,70,pruned_models,0.20745272934436798,0.54736328125,0.6343297958374023,0.6582278481012658,0.5
AE512_64x32_cnf_month,pruning-bottleneck,70,pruned_models,0.027017366141080856,0.26416015625,0.7487912178039551,0.6582278481012658,0.5
AE512_64x32_cnf_week,pruning-bottleneck,70,pruned_models,0.347985178232193,0.26416015625,0.844933032989502,0.6582278481012658,0.5
AE512_256x128_cnf_month,pruning-bottleneck,70,fine-tuned_models,0.0008468561572954059,1.18017578125,0.7804739475250244,0.9048223350253807,0.9082575130962227
AE512_256x128_cnf_week,pruning-bottleneck,70,fine-tuned_models,0.0008887652074918151,1.18017578125,0.7245979309082031,0.9021538461538462,0.90334068559875
AE512_128x64_cnf_month,pruning-bottleneck,70,fine-tuned_models,0.0012504077749326825,0.54736328125,0.7836649417877197,0.9017857142857143,0.9057301718592041
AE512_128x64_cnf_week,pruning-bottleneck,70,fine-tuned_models,0.0013601925456896424,0.54736328125,0.6383464336395264,0.8967223252937538,0.8983779064424224
AE512_64x32_cnf_month,pruning-bottleneck,70,fine-tuned_models,0.002411185298115015,0.26416015625,0.6837985515594482,0.898958971218616,0.8997794320374966
AE512_64x32_cnf_week,pruning-bottleneck,70,fine-tuned_models,0.0026952330954372883,0.26416015625,0.7434911727905273,0.8915971776779987,0.8964938884293724
AE512_64x32_cnf_week,pruning-decoder,70,base_models,0.0017278427258133888,0.26904296875,1.2372593879699707,0.9010578718108276,0.9031339031339032
AE512_128x64_cnf_week,pruning-decoder,70,base_models,0.0010134346084669232,0.56591796875,1.0380661487579346,0.9008674101610905,0.9026054590570719
AE512_64x32_cnf_month,pruning-decoder,70,base_models,0.0015188433462753892,0.26904296875,1.1014394760131836,0.9078455790784558,0.909819869497289
AE512_128x64_cnf_month,pruning-decoder,70,base_models,0.0008899574750103056,0.56591796875,1.3334710597991943,0.9046728971962616,0.906764084183439
AE512_256x128_cnf_week,pruning-decoder,70,base_models,0.0006830478087067604,1.25439453125,1.0853297710418701,0.899749373433584,0.902398676592225
AE512_256x128_cnf_month,pruning-decoder,70,base_models,0.000581078405957669,1.25439453125,1.1433699131011963,0.8984423676012461,0.9006754893851668
AE512_64x32_cnf_week,pruning-decoder,70,pruned_models,0.07685499638319016,0.22998046875,1.0700013637542725,0.6582278481012658,0.5
AE512_128x64_cnf_week,pruning-decoder,70,pruned_models,0.1334826797246933,0.482421875,1.39408540725708,0.6582278481012658,0.5
AE512_64x32_cnf_month,pruning-decoder,70,pruned_models,0.017560359090566635,0.22998046875,0.9472002983093262,0.6582278481012658,0.5
AE512_128x64_cnf_month,pruning-decoder,70,pruned_models,0.09603092819452286,0.482421875,1.0507240295410156,0.6582278481012658,0.5
AE512_256x128_cnf_week,pruning-decoder,70,pruned_models,0.1707666963338852,1.06640625,1.03218412399292,0.6582278481012658,0.5
AE512_256x128_cnf_month,pruning-decoder,70,pruned_models,0.0014154358068481088,1.06640625,0.8989334106445312,0.8953709575142677,0.8991361088135281
AE512_64x32_cnf_week,pruning-decoder,70,fine-tuned_models,0.0017950917826965451,0.22998046875,0.7091677188873291,0.9061326658322904,0.9085102472199247
AE512_128x64_cnf_week,pruning-decoder,70,fine-tuned_models,0.0010392800904810429,0.482421875,1.3191635608673096,0.9014259144451333,0.9032028306221855
AE512_64x32_cnf_month,pruning-decoder,70,fine-tuned_models,0.0015521467430517077,0.22998046875,0.914039134979248,0.9063482086737901,0.9090386912967559
AE512_128x64_cnf_month,pruning-decoder,70,fine-tuned_models,0.0009011901565827429,0.482421875,0.941565990447998,0.9054726368159204,0.9074074074074074
AE512_256x128_cnf_week,pruning-decoder,70,fine-tuned_models,0.0006849817000329494,1.06640625,1.0359876155853271,0.8963795255930087,0.8988144472015439
AE512_256x128_cnf_month,pruning-decoder,70,fine-tuned_models,0.0005741511704400182,1.06640625,1.2128162384033203,0.8983688833124216,0.901157981803143
AE512_64x32_cnf_week,ga1week-decoder,90,base_models,0.0018013535300269723,0.26904296875,0.5852491855621338,0.9015479876160991,0.903225806451613
