ModelName,Technique,Proportion,Step,validation_loss,memory_used,inference_time,f1_score,auc_score
AE512_256x128_cnf_month,ga1week,80,base_models,0.0005661192699335515,1.25439453125,0.9357621669769287,0.896421845574388,0.8993199154489477
AE512_256x128_cnf_week,ga1week,80,base_models,0.0006530521204695106,1.25439453125,0.6488163471221924,0.897160883280757,0.9004457310908924
AE512_128x64_cnf_month,ga1week,80,base_models,0.0008542568539269269,0.56591796875,0.7536089420318604,0.9035033804548248,0.904581380387832
AE512_128x64_cnf_week,ga1week,80,base_models,0.0010123682441189885,0.56591796875,0.7783651351928711,0.9008109794135996,0.9030879514750484
AE512_64x32_cnf_month,ga1week,80,base_models,0.001484774285927415,0.26904296875,0.6065306663513184,0.9053549190535491,0.90738443157798
AE512_64x32_cnf_week,ga1week,80,base_models,0.0018508080393075943,0.26904296875,0.6050479412078857,0.9013563501849569,0.9026973623747817
AE512_256x128_cnf_month,ga1week,80,pruned_models,0.006402533035725355,1.12255859375,0.751295804977417,0.8569651741293532,0.8599163679808841
AE512_256x128_cnf_week,ga1week,80,pruned_models,0.0020957891829311848,1.125,0.6453235149383545,0.8574908647990256,0.8578715191618419
AE512_128x64_cnf_month,ga1week,80,pruned_models,0.0030165857169777155,0.5087890625,0.71653151512146,0.8684863523573201,0.870921790276629
AE512_128x64_cnf_week,ga1week,80,pruned_models,0.003520615166053176,0.5087890625,0.6951644420623779,0.8363636363636363,0.8360444812057715
AE512_64x32_cnf_month,ga1week,80,pruned_models,0.018483661115169525,0.2421875,0.6801340579986572,0.6582278481012658,0.5
AE512_64x32_cnf_week,ga1week,80,pruned_models,0.012011179700493813,0.2421875,0.6732006072998047,0.6731534719150818,0.5575085010568881
AE512_256x128_cnf_month,ga1week,80,fine-tuned_models,0.0005638524307869375,1.12255859375,1.0911881923675537,0.8972431077694235,0.899963238672916
AE512_256x128_cnf_week,ga1week,80,fine-tuned_models,0.0006684604450128973,1.125,0.6799581050872803,0.8994447871684146,0.9008592960205863
AE512_128x64_cnf_month,ga1week,80,fine-tuned_models,0.0008486137958243489,0.5087890625,0.6874947547912598,0.9039408866995073,0.905155776123518
AE512_128x64_cnf_week,ga1week,80,fine-tuned_models,0.0010254224762320518,0.5087890625,0.6969752311706543,0.904143475572047,0.9056842202003491
AE512_64x32_cnf_month,ga1week,80,fine-tuned_models,0.0014969869516789913,0.2421875,0.6655128002166748,0.9060360920970753,0.908004778972521
AE512_64x32_cnf_week,ga1week,80,fine-tuned_models,0.0018687427509576082,0.2421875,0.626641035079956,0.9039408866995073,0.905155776123518
AE512_256x128_cnf_month,ga1week,70,base_models,0.0005939182010479271,1.25439453125,0.5868699550628662,0.8993788819875776,0.9013417884385627
AE512_256x128_cnf_week,ga1week,70,base_models,0.0006610199343413115,1.25439453125,0.6303472518920898,0.8974683544303798,0.900997150997151
AE512_128x64_cnf_month,ga1week,70,base_models,0.0008492867345921695,0.56591796875,0.6042027473449707,0.9029896278218426,0.9035015164047422
AE512_128x64_cnf_week,ga1week,70,base_models,0.001011558691971004,0.56591796875,0.7019894123077393,0.8986948415164698,0.9007214410440217
AE512_64x32_cnf_month,ga1week,70,base_models,0.001630164566449821,0.26904296875,0.6307857036590576,0.9063444108761329,0.9061207609594707
